'14190364','0V1    ','20143','20143',93,'OO'
'14190364','0V2    ','20143','20143',90,'OO'
'14190364','0V3    ','20143','20143',81,'OO'
'14190364','0V4    ','20143','20143',70,'OC'
'14190364','0V5   ','20143','20143',95,'OO'
'14190364','0V6    ','20143','20143',85,'OO'
'14190364','0V7    ','20151','20151',70,'OC'
'14190364','0V8    ','20151','20151',100,'OO'
'14190364','0V9    ','20151','20151',85,'OO'
'14190364','1V0    ','20151','20151',80,'OO'
'14190364','1V1    ','20151','20151',90,'OO'
'14190364','1V2    ','20151','20151',91,'OO'
'14190364','1V3    ','20153','20153',70,'OO'
'14190364','1V4    ','20153','20153',100,'OO'
'14190364','1V5    ','20153','20153',87,'OO'
'14190364','1V6    ','20153','20153',96,'OO'
'14190364','1V7    ','20153','20153',75,'OO'
'14190364','1V8    ','20153','20153',82,'OC'
'14190364','1V9    ','20161','20161',93,'OO'
'14190364','2V0    ','20161','20161',83,'OC'
'14190364','2V1    ','20161','20161',100,'OO'
'14190364','2V2    ','20161','20161',100,'OO'
'14190364','2V3    ','20161','20161',100,'OO'
'14190364','2V4    ','20161','20161',83,'OO'
'14190364','2V5    ','20163','20163',78,'OC'
'14190364','2V6    ','20163','20163',97,'OO'
'14190364','2V7    ','20163','20163',100,'OO'
'14190364','2V8    ','20163','20163',98,'OO'
'14190364','2V9    ','20163','20163',88,'OO'
'14190364','3V0    ','20163','20163',100,'OO'
'14190364','3V7    ','20163','20163',87,'OO'
'14190364','3V1    ','20171','20171',80,'OO'
'14190364','3V2    ','20171','20171',90,'OO'
'14190364','3V3    ','20171','20171',90,'OO'
'14190364','3V4    ','20171','20171',90,'OC'
'14190364','3V5    ','20171','20171',85,'OC'
'14190364','3V6    ','20171','20171',100,'OO'
'14190364','4V0    ','20171','20171',94,'OO'
'14190364','3V8    ','20173','20173',80,'OO'
'14190364','3V9    ','20173','20173',85,'OO'
'14190364','4V1    ','20173','20173',100,'OO'
'14190364','4V2    ','20173','20173',80,'OO'
'14190364','4V3    ','20173','20173',86,'OO'
'14190364','4V5    ',,'20173',0,'OO'
'14190364','5V1    ','20173','20173',97,'OO'
'14190364','4V4    ','20173','20173',AC,'AC'
'14190364','4V5    ','20181','20181',93,'RO'
'14190364','4V6    ','20181','20181',90,'OO'
'14190364','4V7    ','20181','20181',70,'OO'
'14190364','4V8    ','20181','20181',90,'OO'
'14190364','4V9    ','20181','20181',87,'OO'
'14190364','5V3    ','20181','20181',90,'OO'
'14190364','5V0    ','20181','20181',100,'OO'
'14190364','5V2    ','20182','20182',91,'OO'
'14190364','5V4    ','20183','20183',100,'OO'
